name,sku,description,brand,price,Quantity On Hand,Width,Height,Length,Weight,Weight(UOM),,,,,
3D Different Size Red and Brown Tiles Pattern Wallpaper by IDIYA Ltd.,100.000.92,"Vinyl Un-prepasted Wallpaper.Brief introduction<br class=""Apple-interchange-newline"">3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.Material: Vinyl TexturedSize: 0.53m x 10m=5.3 sq. metreUsage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.",Idiya,29.58,10,53,0.5,1000,2,kg,,,,,
3D Faded Black and Faded Grey Stripes Pattern Wallpaper by IDIYA Ltd.,100.000.69,"Vinyl Un-prepasted Wallpaper.

Brief introduction
3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.

This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.

High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.

Material: Vinyl Textured

Size: 0.53m x 10m=5.3 sq. metre

Usage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.

Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.",Idiya,29.58,17,53,0.5,1000,2,kg,,,,,
3D Faded Black and Faded Grey Stripes Pattern Wallpaper(3)+1 Glue+1 Primer Combo,PR52,"Vinyl Un-prepasted Wallpaper.Brief introduction

3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.




Material: Vinyl Textured



Size: 0.53m x 10m=5.3 sq. metreUsage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.



Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.",Idiya,92.11,4,53,0.5,1000,2,kg,,,,,
3D Faded Grey Stripes Pattern Wallpaper by IDIYA Ltd.,100.000.97,"Vinyl Un-prepasted Wallpaper.Brief introduction3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.Material: Vinyl TexturedSize: 0.53m x 10m=5.3 sq. meterUsage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.

",Idiya,29.58,27,53,0.5,1000,2,kg,,,,,
3D Faded Red and Beige Tiles Pattern Wallpaper by IDIYA Ltd.,100.001.05,"Vinyl Un-prepasted Wallpaper.Brief introduction3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.Material: Vinyl TexturedSize: 0.53m x 10m=5.3 sq. metreUsage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.

&nbsp;",Idiya,35,10,53,0.5,1000,2,kg,,,,,
3D Light Brown Bamboo Sticks Pattern Wallpaper by IDIYA Ltd.,100.000.71,"Vinyl Un-prepasted Wallpaper.Brief introduction3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.Material: Vinyl TexturedSize: 0.53m x 10m=5.3 sq. metreUsage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.

",Idiya,29.58,16,53,0.5,1000,2,kg,,,,,
3D Light Brown Pattern Wallpaper by IDIYA Ltd.,100.000.82," style=""box-sizing: inherit; margin-bottom: 1.5em; padding: 0px;""><font style=""color: rgb(89, 89, 89);"">If you are looking to renovate your living room or bedroom’s old, deteriorating walls and</font><span style=""text-align: inherit;""><font style=""color: rgb(89, 89, 89);"">transform them into a simple yet elegant design at an affordable cost, the&nbsp;</font><font style=""color: rgb(89, 89, 89);"">If you are looking to renovate your living room or bedroom’s old, deteriorating walls and</font><font style=""color: rgb(89, 89, 89);"">transform them into a simple yet elegant design at an affordable cost, the 3D Light</font></span><span style=""text-align: inherit;""><font style=""color: rgb(89, 89, 89);"">Brown Wallpaper is perfect for you.</font></span><span style=""font-style: inherit; font-variant-caps: inherit; font-variant-ligatures: inherit; font-weight: inherit; text-align: inherit;""><font color=""#5e5e5e"" style=""color: rgb(89, 89, 89);"">Whether you’re into vintage or contemporary style, this fancy wallpaper will glow&nbsp;</font><font color=""#5e5e5e"" style=""color: rgb(89, 89, 89);"">space and give your lovely bach or home that rustic style and wooden wall illusion you’ll</font><font color=""#5e5e5e"" style=""color: rgb(89, 89, 89);"">surely love — thanks to its striking light brown colour, chic design, and vinyl texture, which</font><font color=""#5e5e5e"" style=""color: rgb(89, 89, 89);"">also makes any vintage or modern pieces of furniture and appliances blend and look gorgeous.</font></span><span style=""color: rgb(89, 89, 89); font-style: inherit; font-variant-caps: inherit; font-variant-ligatures: inherit; font-weight: inherit; text-align: inherit;"">The 3D Light Brown Wallpaper is lightweight, waterproof, and made of high-quality, environment-friendly materials. It comes with one (1) glue and one (1) primer for a quick and easy DIY installation</span><span style=""color: rgb(89, 89, 89); font-style: inherit; font-variant-caps: inherit; font-variant-ligatures: inherit; text-align: inherit;"">Material: </span><span style=""color: rgb(89, 89, 89); font-style: inherit; font-variant-caps: inherit; font-variant-ligatures: inherit; font-weight: inherit; text-align: inherit;"">Vinyl Textured</span><span style=""color: rgb(89, 89, 89); font-style: inherit; font-variant-caps: inherit; font-variant-ligatures: inherit; text-align: inherit;"">Size: </span><span style=""color: rgb(89, 89, 89); font-style: inherit; font-variant-caps: inherit; font-variant-ligatures: inherit; font-weight: inherit; text-align: inherit;"">0.53m x 10m=5.3 sq. metre</span><span style=""color: rgb(89, 89, 89); font-style: inherit; font-variant-caps: inherit; font-variant-ligatures: inherit; font-weight: inherit; text-align: inherit;""></span><span style=""color: rgb(89, 89, 89); font-style: inherit; font-variant-caps: inherit; font-variant-ligatures: inherit; text-align: inherit;"">Usage:</span><span style=""color: rgb(89, 89, 89); font-style: inherit; font-variant-caps: inherit; font-variant-ligatures: inherit; font-weight: inherit; text-align: inherit;""> Feature walls, Retail, Restaurants, Living room, Bedding roomStudy, Kids’ room, TV Background etc.&lt;/p&gt;Color tones can vary due to lighting in the room and computer screen resolutions.</span>",Idiya,29.58,10,53,0.5,1000,1.5,kg,,,,,
3D Light Brrown Brick Pattern Wallpaper by IDIYA Ltd.,100.000.74,"Sales DescriptionVinyl Un-prepasted Wallpaper.Brief introduction3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.Material: Vinyl TexturedSize: 0.53m x 10m=5.3 sq. metreUsage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.",Idiya,29.58,9,53,0.5,1000,2,kg,,,,,
3D Light and Dark Brown Stripes Pattern Wallpaper(3)+1 Glue+1 Primer,PR53," style=""box-sizing: inherit; margin-bottom: 1.5em; padding: 0px; font-family: Lato, Arial, Helvetica, sans-serif; font-size: 14px; color: rgb(85, 85, 85);"">Vinyl Un-prepasted Wallpaper.<br style=""box-sizing: inherit;"">design no- RT0302<br style=""box-sizing: inherit;"">3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.<br style=""box-sizing: inherit;"">High Standard Wallpaper Quality, Waterproof.<br style=""box-sizing: inherit;"">Material: Vinyl Textured<br style=""box-sizing: inherit;""> style=""box-sizing: inherit; margin-bottom: 1.5em; padding: 0px; font-family: Lato, Arial, Helvetica, sans-serif; font-size: 14px; color: rgb(85, 85, 85);"">Size- 0.53m x 10m=5.3 sq. metre<br style=""box-sizing: inherit;""> style=""box-sizing: inherit; margin-bottom: 1.5em; padding: 0px; font-family: Lato, Arial, Helvetica, sans-serif; font-size: 14px; color: rgb(85, 85, 85);"">Usage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.<br style=""box-sizing: inherit;"">Color tones can vary due to lighting in the room and computer screen resolutions.Primer-Easy and simple use kit Wallpaper primer prevents wallpaper paste from softening latex paint. It makes the paper easier to remove and creates a sound, hard surface for adherence to drywall. It also prevents stains from bleeding through the wallpaperMain components- Acrylic (Styrene acrylic emulsion)<br style=""box-sizing: inherit;""> style=""box-sizing: inherit; margin-bottom: 1.5em; padding: 0px; font-family: Lato, Arial, Helvetica, sans-serif; font-size: 14px; color: rgb(85, 85, 85);"">Available area- 15 m sq 2-25 m sq.<br style=""box-sizing: inherit;""> style=""box-sizing: inherit; margin-bottom: 1.5em; padding: 0px; font-family: Lato, Arial, Helvetica, sans-serif; font-size: 14px; color: rgb(85, 85, 85);"">Features- high permeation, super adhesion, convenient construction, mould proof, formaldehyde free, moisture proof.<br style=""box-sizing: inherit;"">Waterproof and breathable- the wall can be sealed by protection primer membrane, and the primer can prevent water leakage on the wall.<br style=""box-sizing: inherit;"">Seal the crack-with great permeability and flexibility, the primer can seal the little crack on the wall, offer a hydrophilic surface for wallpaper pasting.<br style=""box-sizing: inherit;"">Wallpaper protection-prevent crystalline bloom from lime, concrete and the putty wall, helps to keep wallpaper bright and shining like new for longer period.<br style=""box-sizing: inherit;"">Net weight- 1 Litre style=""box-sizing: inherit; margin-bottom: 1.5em; padding: 0px; font-family: Lato, Arial, Helvetica, sans-serif; font-size: 14px; color: rgb(85, 85, 85);"">Adhesive-key features- style=""box-sizing: inherit; margin-bottom: 1.5em; padding: 0px; font-family: Lato, Arial, Helvetica, sans-serif; font-size: 14px; color: rgb(85, 85, 85);"">Breathable and Eco friendly, commercial grade, great final adhesion, tenacity and stability, extended open time.<br style=""box-sizing: inherit;""> style=""box-sizing: inherit; margin-bottom: 1.5em; padding: 0px; font-family: Lato, Arial, Helvetica, sans-serif; font-size: 14px; color: rgb(85, 85, 85);"">Product Description-<br style=""box-sizing: inherit;"">Excellent adhesion for use with non-pasted and pre-pasted wall coverings. Makes positioning easier. Strippable, Easy water cleanup. Non-staining, Dries clear.<br style=""box-sizing: inherit;"">Coverage- Up to approx. 20-25㎡ per bag  style=""box-sizing: inherit; margin-bottom: 1.5em; padding: 0px; font-family: Lato, Arial, Helvetica, sans-serif; font-size: 14px; color: rgb(85, 85, 85);"">Net weight- 2kg<br style=""box-sizing: inherit;"">1 bag of adhesive is Ideal for 3-4 standard wallpaper rolls.Good for 14-16 sq.metre of wall.",Idiya,92.11,1,53,0.5,1000,2,kg,,,,,
"3D Ships,Trains,Hot Air Balloon, Beige Background Wallpaper by IDIYA Ltd",100.001.07,"Vinyl Un-prepasted Wallpaper.

Brief introduction
3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.

This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.

High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.

Material: Vinyl Textured

Size: 0.53m x 10m=5.3 sq. metre

Usage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.

Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.",Idiya,29.58,22,53,0.5,1000,2,kg,,,,,
"3D Small Rocks, Yellow Effect Pattern Wallpapers by IDIYA Ltd.",100.000.78,"Vinyl Un-prepasted Wallpaper.Brief introduction

3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.




Material: Vinyl Textured



Size: 0.53m x 10m=5.3 sq. metre

Usage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.

Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.",Idiya,29.58,8,53,0.5,1000,1.5,kg,,,,,
3D Small and Big Light Grey Pebbels Pattern Wallpaper(3)+1 Glue+ 1 Primer,PR50,"Vinyl Un-prepasted Wallpaper.

Brief introduction
3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.

This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.

High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.

MaterialVinyl Textured

Size: 0.53m x 10m=5.3 sq. metre

Usage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.

Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.",Idiya,92.11,4,53,0.5,1000,7,kg,,,,,
3D Tree Barks on Dark Grey Background Pattern Wallpaper by IDIYA Ltd.,100.000.85,"<h6>For nature lovers out there who would love to boost the green ambience of their homes with a stunning, nature-inspired interior wallpaper design, the 3D Tree Barks on Dark Grey Background Pattern Wallpaper by Idiya Ltd. is the perfect choice for you.</h6><h6>Introduce a nature-inspired design into your space with its 3D tree barks pattern on a dark grey background that will effortlessly cover your dull and cracked walls and incredibly enhance your beaut interior while giving your room a subtle and calming sage without becoming too overpowering.</h6><h6>This self-adhesive wallpaper is made from high-quality PVC material and comes in a vinyl texture, resulting in a more durable and smoother surface. It is lightweight and made of natural, environment-friendly and long-lasting materials, making sure that it will last on your walls for years. With its waterproof feature, you can install it even in your bathroom or kitchen area as well.</h6><h6>What’s more, this wallpaper is quick and easy to install, so you can do it yourself without the hassle of hiring any professional for help. It also doesn’t require any complex cleaning techniques — just wipe it when needed, and you’re all good.</h6><h6>Leave your friends and family impressed with an incredible wall decor upgrade on their next visit. Reinvent your old and dull walls with the 3D Tree Barks on Dark Grey Background Pattern Wallpaper by Idiya Ltd., and achieve that sleek and charming look you’ve always wanted — at an affordable cost.</h6>",Idiya,29.58,5,53,0.5,1000,2,kg,,,,,
3D Tree Barks on Light Grey Background Pattern Wallpaper by IDIYA Ltd.,100.000.87,"<h6>For nature lovers out there who would love to boost the green ambience of their homes with a stunning, nature-inspired interior wallpaper design, the 3D Tree Barks on Light Grey Background Pattern Wallpaper by Idiya Ltd. is the perfect choice for you.</h6><h6>Introduce a nature-inspired design into your space with its 3D tree barks pattern on a light grey background that will effortlessly cover your dull and cracked walls and incredibly enhance your beaut interior while giving your room a subtle and calming sage without becoming too overpowering.</h6><h6>This vinyl textured wallpaper is lightweight, self-adhesive and made of high-quality, natural and environment-friendly materials. Its thick surface is made from PVC material, making it smoother, more durable, and long-lasting. This wallpaper is quick and easy to install, so you can do it yourself without the hassle of hiring any professional for help. It also doesn’t require any complex cleaning techniques — just wipe it when needed, and you’re all good.</h6><h6>What’s more, this wallpaper can fit the majority of flat surfaces in your home — be it in your bedroom, living room, dining room, home office, and so on. Thanks to its waterproof feature, you can install it even in your bathroom or kitchen area as well.</h6><h6>Leave your friends and family impressed with an incredible wall decor upgrade on their next visit. Reinvent your old and dull walls with the 3D Tree Barks on Light Grey Background Pattern Wallpaper by Idiya Ltd., and achieve that beaut and charming look you’ve always wanted — at an affordable cost.</h6>",Idiya,29.58,23,53,0.5,1000,2,kg,,,,,
3D Tree Stems Light Color Pattern Wallpaper by IDIYA Ltd.,100.000.76,"<h6>If you want to achieve that beaut style and chill vibe in your bach or home, the 3D Light-Coloured&nbsp;<span style=""font-size: 14px; text-align: inherit;"">Tree Stems Wallpaper is your best bet.&nbsp;</span></h6><h6>This 3D wallpaper will lighten up any part of your room with its charming light colour pattern,&nbsp;</h6><h6>making it more homey, relaxing, and clean looking —&nbsp; all at an affordable cost. Moreover, it is</h6><h6>perfect for houses with many indoor plants as it blends effortlessly with its earthy atmosphere.&nbsp;</h6><h6>If you wish to purchase more than 2 rolls, then please contact us for shipping.</h6><h6>This nature-inspired wallpaper is waterproof, lightweight, environment-friendly, and made of&nbsp;</h6><h6>high-quality standard materials, making sure that it lasts on your walls for years. Its package</h6><h6>comes with one (1) glue and one (1) primer combo, making your DIY wallpaper installation&nbsp;</h6><h6>simple, easy, and hassle-free.&nbsp;</h6><h6>Save yourself from costly renovations and home decorations. Whether you want to use it for&nbsp;</h6><h6>your living room, dining area, bedroom, home office, study area, etc., the 3D Light-Coloured Tree</h6><h6>Stems Wallpaper will surely set the mood and give your space a fun, creative vibe, which will surely</h6><h6>leave your friends and family impressed the moment they see it.</h6><h6></h6><h6>Material:</h6><h6>Vinyl Textured</h6><h6></h6><h6>Size</h6><h6>0.53m x 10m=5.3 sq. metre</h6><h6></h6><h6>Usage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.</h6><h6>Color tones can vary due to lighting in the room and computer screen resolutions.</h6><h6></h6><h6></h6>",Idiya,29.58,1,53,0.5,1000,1.5,kg,,,,,
